Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",97.500000,82.200000,90.000000,top
"C2","10uF","C_1206_3216Metric",84.800000,75.000000,180.000000,top
"C3","10uF","C_1206_3216Metric",84.800000,83.000000,180.000000,top
"C4","100nF","C_0402_1005Metric",96.400000,72.800000,0.000000,top
"C5","10nF","C_0402_1005Metric",95.700000,74.900000,90.000000,top
"C6","100nF","C_0402_1005Metric",89.800000,79.000000,180.000000,top
"C7","10uF","C_1206_3216Metric",84.800000,87.900000,180.000000,top
"C8","10uF","C_1206_3216Metric",84.800000,72.600000,180.000000,top
"C9","100pF","C_0402_1005Metric",99.500000,72.800000,180.000000,top
"C10","10uF","C_1206_3216Metric",84.800000,85.500000,180.000000,top
"C11","10uF","C_1206_3216Metric",84.800000,70.200000,180.000000,top
"C12","10uF","C_1206_3216Metric",108.500000,75.700000,90.000000,top
"C13","10uF","C_1206_3216Metric",106.300000,75.700000,90.000000,top
"C14","10uF","C_1206_3216Metric",75.300000,72.000000,-90.000000,top
"C15","10uF","C_1206_3216Metric",73.000000,72.000000,-90.000000,top
"C16","10uF","C_1206_3216Metric",108.000000,80.000000,180.000000,top
"C17","10uF","C_1206_3216Metric",108.000000,82.300000,180.000000,top
"C18","1uF","C_0603_1608Metric",21.000000,46.900000,0.000000,top
"C19","1uF","C_0603_1608Metric",102.000000,50.800000,180.000000,top
"C20","1uF","C_0603_1608Metric",29.900000,26.300000,0.000000,top
"C21","1uF","C_0603_1608Metric",95.000000,52.000000,180.000000,top
"C22","4u7F","C_0603_1608Metric",21.000000,40.900000,0.000000,top
"C23","4u7F","C_0603_1608Metric",102.000000,56.800000,180.000000,top
"C24","4u7F","C_0603_1608Metric",29.900000,20.300000,0.000000,top
"C25","4u7F","C_0603_1608Metric",95.000000,58.000000,180.000000,top
"C26","1uF","C_0603_1608Metric",20.000000,38.400000,-90.000000,top
"C27","1uF","C_0603_1608Metric",103.000000,59.300000,90.000000,top
"C28","1uF","C_0603_1608Metric",28.900000,18.100000,-90.000000,top
"C29","100nF","C_0402_1005Metric",91.518900,45.800000,0.000000,top
"C30","10nF","C_0402_1005Metric",111.000000,90.500000,-90.000000,top
"C31","100nF","C_0402_1005Metric",99.898900,39.423600,90.000000,top
"C32","100nF","C_0402_1005Metric",91.498900,43.263600,0.000000,top
"C33","100nF","C_0402_1005Metric",96.300000,37.400000,90.000000,top
"C34","100nF","C_0402_1005Metric",99.900000,41.675000,90.000000,top
"C35","DNP","C_0402_1005Metric",97.500000,37.400000,-90.000000,top
"C36","DNP","C_0402_1005Metric",89.200000,39.000000,-90.000000,top
"C37","DNP","C_0402_1005Metric",89.200000,43.300000,-90.000000,top
"C38","56pF","C_0402_1005Metric",89.200000,36.700000,90.000000,top
"C39","10nF","C_0402_1005Metric",95.000000,90.500000,90.000000,top
"C40","DNP","C_0402_1005Metric",99.900000,37.400000,90.000000,top
"C41","DNP","C_0402_1005Metric",85.200000,39.000000,-90.000000,top
"C42","DNP","C_0402_1005Metric",85.200000,43.300000,-90.000000,top
"C43","180pF","C_0402_1005Metric",85.200000,36.700000,90.000000,top
"C44","DNP","C_0402_1005Metric",102.300000,37.400000,-90.000000,top
"C45","DNP","C_0402_1005Metric",81.200000,39.000000,-90.000000,top
"C46","DNP","C_0402_1005Metric",81.200000,43.300000,-90.000000,top
"C47","56pF","C_0402_1005Metric",81.200000,36.700000,90.000000,top
"C48","100nF","C_0402_1005Metric",74.000000,36.000000,0.000000,top
"C49","10uF","C_1206_3216Metric",92.000000,54.600000,-90.000000,top
"C50","1uF","C_0603_1608Metric",80.600000,57.900000,90.000000,top
"C51","10nF","C_0402_1005Metric",72.900000,50.500000,180.000000,top
"C52","1uF","C_0603_1608Metric",75.500000,57.900000,90.000000,top
"C53","10uF","C_1206_3216Metric",79.200000,54.900000,180.000000,top
"C54","100nF","C_0402_1005Metric",72.900000,49.300000,0.000000,top
"C55","100nF","C_0402_1005Metric",72.900000,51.700000,0.000000,top
"C56","100nF","C_0402_1005Metric",65.700000,45.500000,-90.000000,top
"C57","100nF","C_0402_1005Metric",73.300000,58.700000,0.000000,top
"C58","1uF","C_0402_1005Metric",71.100000,45.500000,-90.000000,top
"C59","1uF","C_0402_1005Metric",66.900000,45.500000,-90.000000,top
"C60","1uF","C_0402_1005Metric",69.900000,45.500000,-90.000000,top
"C61","100nF","C_0402_1005Metric",64.300000,46.800000,-90.000000,top
"C62","100nF","C_0402_1005Metric",63.100000,49.100000,90.000000,top
"C63","180pF","C_0402_1005Metric",66.600000,55.600000,90.000000,top
"C64","100nF","C_0402_1005Metric",63.100000,53.700000,90.000000,top
"C65","100nF/RF","C_0402_1005Metric",51.400000,49.600000,-90.000000,top
"C66","3n3F","C_0402_1005Metric",67.800000,57.400000,0.000000,top
"C67","18pF","C_0402_1005Metric",64.468900,55.543600,-90.000000,top
"C68","100nF/RF","C_0402_1005Metric",56.800000,35.300000,0.000000,top
"C69","100nF","C_0402_1005Metric",60.000000,39.000000,180.000000,top
"C70","100nF","C_0402_1005Metric",64.000000,32.000000,90.000000,top
"C71","100nF/RF","C_0402_1005Metric",60.800000,23.500000,-90.000000,top
"C72","100nF","C_0402_1005Metric",63.900000,21.900000,0.000000,top
"C73","100nF","C_0402_1005Metric",63.800000,20.400000,180.000000,top
"C74","100nF/RF","C_0402_1005Metric",61.000000,16.700000,-90.000000,top
"C75","100nF","C_0402_1005Metric",61.900000,3.800000,180.000000,top
"C76","100nF","C_0402_1005Metric",26.000000,10.500000,90.000000,top
"C77","100nF","C_0402_1005Metric",84.900000,7.941418,-135.000000,top
"C78","10uF","C_1206_3216Metric",73.000000,18.000000,-90.000000,top
"C79","1uF","C_0603_1608Metric",76.600000,17.800000,-90.000000,top
"C80","10nF","C_0402_1005Metric",82.900000,24.100000,0.000000,top
"C81","1uF","C_0603_1608Metric",81.600000,17.800000,-90.000000,top
"C82","10uF","C_1206_3216Metric",76.000000,29.000000,180.000000,top
"C83","100nF","C_0402_1005Metric",83.698900,25.503600,90.000000,top
"C84","100nF","C_0402_1005Metric",82.900000,22.900000,180.000000,top
"C85","100nF","C_0402_1005Metric",90.300000,29.000000,90.000000,top
"C86","100nF","C_0402_1005Metric",83.500000,17.100000,180.000000,top
"C87","1uF","C_0402_1005Metric",84.900000,29.000000,90.000000,top
"C88","1uF","C_0402_1005Metric",89.100000,29.000000,90.000000,top
"C89","1uF","C_0402_1005Metric",86.100000,29.000000,90.000000,top
"C90","180pF","C_0402_1005Metric",89.700000,18.800000,-90.000000,top
"C91","100nF","C_0402_1005Metric",95.100000,23.700000,-90.000000,top
"C92","3n3F","C_0402_1005Metric",88.500000,17.000000,0.000000,top
"C93","10nF","C_0402_1005Metric",92.725000,29.050000,-90.000000,top
"C94","100nF","C_0402_1005Metric",95.100000,26.100000,90.000000,top
"C95","18pF","C_0402_1005Metric",91.738900,18.773600,90.000000,top
"C96","100nF/RF","C_0402_1005Metric",26.800000,5.600000,180.000000,top
"C97","100nF","C_0402_1005Metric",9.300000,36.800000,0.000000,top
"C98","100nF","C_0402_1005Metric",9.300000,38.100000,0.000000,top
"C99","100nF/RF","C_0402_1005Metric",12.000000,6.600000,90.000000,top
"C100","1uF","C_0402_1005Metric",11.700000,41.700000,180.000000,top
"C101","1uF","C_0402_1005Metric",14.000000,41.700000,0.000000,top
"C102","100nF","C_0402_1005Metric",14.800000,38.700000,90.000000,top
"C103","100nF","C_0402_1005Metric",9.300000,40.500000,0.000000,top
"C104","10nF","C_0402_1005Metric",8.200000,18.700000,180.000000,top
"C105","10nF","C_0402_1005Metric",8.200000,22.600000,180.000000,top
"C106","10nF","C_0402_1005Metric",15.400000,17.600000,-90.000000,top
"C107","DNP","C_0402_1005Metric",19.100000,18.900000,180.000000,top
"C108","1uF","C_0402_1005Metric",8.200000,25.000000,180.000000,top
"C109","100nF/RF","C_0402_1005Metric",16.800000,20.000000,180.000000,top
"C110","100nF/RF","C_0402_1005Metric",16.800000,21.200000,180.000000,top
"C111","10nF","C_0402_1005Metric",17.000000,22.600000,0.000000,top
"C112","DNP","C_0402_1005Metric",7.800000,43.900000,90.000000,top
"C113","DNP","C_0402_1005Metric",17.600000,43.900000,-90.000000,top
"C114","100nF","C_0402_1005Metric",8.200000,21.200000,0.000000,top
"C115","100nF","C_0402_1005Metric",13.300000,46.700000,-90.000000,top
"C116","100nF","C_0402_1005Metric",12.100000,46.700000,90.000000,top
"C117","100nF","C_0402_1005Metric",8.200000,20.000000,180.000000,top
"C118","100nF","C_0402_1005Metric",8.200000,16.300000,0.000000,top
"C119","100nF","C_0402_1005Metric",8.200000,23.800000,180.000000,top
"C120","10nF","C_0402_1005Metric",14.700000,25.600000,90.000000,top
"C121","330pF","C_0402_1005Metric",12.650000,48.500000,0.000000,top
"C122","100nF","C_0402_1005Metric",17.000000,23.800000,0.000000,top
"C123","10nF","C_0402_1005Metric",11.300000,25.600000,90.000000,top
"C124","120pF","C_0402_1005Metric",13.000000,26.300000,180.000000,top
"C125","330pF","C_0402_1005Metric",9.200000,49.700000,0.000000,top
"C126","330pF","C_0402_1005Metric",12.650000,49.800000,0.000000,top
"C127","330pF","C_0402_1005Metric",16.100000,49.800000,0.000000,top
"C128","150pF","C_0402_1005Metric",13.000000,28.500000,180.000000,top
"C129","1uF","C_0402_1005Metric",6.000000,48.000000,0.000000,top
"C130","33pF","C_0402_1005Metric",13.000000,30.600000,180.000000,top
"C131","1uF","C_0402_1005Metric",6.000000,53.000000,0.000000,top
"C132","100nF","C_0402_1005Metric",9.400000,55.600000,0.000000,top
"C133","100nF/RF","C_0402_1005Metric",93.200000,5.600000,0.000000,top
"C134","100nF","C_0402_1005Metric",110.000000,40.703600,0.000000,top
"C135","100nF","C_0402_1005Metric",110.000000,42.200000,0.000000,top
"C136","100nF/RF","C_0402_1005Metric",110.000000,6.700000,90.000000,top
"C137","1uF","C_0402_1005Metric",112.800000,46.000000,180.000000,top
"C138","1uF","C_0402_1005Metric",115.200000,46.000000,0.000000,top
"C139","100nF","C_0402_1005Metric",110.000000,44.800000,0.000000,top
"C140","100nF","C_0402_1005Metric",116.000000,42.700000,90.000000,top
"C141","10nF","C_0402_1005Metric",101.400000,23.200000,180.000000,top
"C142","10nF","C_0402_1005Metric",103.000000,29.900000,90.000000,top
"C143","10nF","C_0402_1005Metric",107.000000,29.900000,90.000000,top
"C144","DNP","C_0402_1005Metric",105.000000,20.100000,180.000000,top
"C145","1uF","C_0402_1005Metric",110.600000,21.700000,-90.000000,top
"C146","100nF/RF","C_0402_1005Metric",104.400000,21.800000,90.000000,top
"C147","100nF/RF","C_0402_1005Metric",105.600000,21.800000,90.000000,top
"C148","10nF","C_0402_1005Metric",108.200000,21.700000,-90.000000,top
"C149","DNP","C_0402_1005Metric",109.400000,48.200000,90.000000,top
"C150","DNP","C_0402_1005Metric",117.900000,48.200000,-90.000000,top
"C151","100nF","C_0402_1005Metric",105.600000,29.900000,-90.000000,top
"C152","100nF","C_0402_1005Metric",113.600000,51.000000,-90.000000,top
"C153","100nF","C_0402_1005Metric",112.400000,51.000000,90.000000,top
"C154","100nF","C_0402_1005Metric",104.400000,29.900000,90.000000,top
"C155","100nF","C_0402_1005Metric",100.600000,29.900000,-90.000000,top
"C156","100nF","C_0402_1005Metric",109.400000,21.700000,-90.000000,top
"C157","10nF","C_0402_1005Metric",110.500000,24.900000,0.000000,top
"C158","330pF","C_0402_1005Metric",113.000000,53.700000,0.000000,top
"C159","100nF","C_0402_1005Metric",108.200000,29.900000,90.000000,top
"C160","10nF","C_0402_1005Metric",110.500000,26.100000,0.000000,top
"C161","120pF","C_0402_1005Metric",112.300000,25.500000,90.000000,top
"C162","330pF","C_0402_1005Metric",109.000000,55.000000,0.000000,top
"C163","330pF","C_0402_1005Metric",113.000000,55.000000,0.000000,top
"C164","330pF","C_0402_1005Metric",117.000000,55.000000,0.000000,top
"C165","150pF","C_0402_1005Metric",114.100000,28.600000,180.000000,top
"C166","1uF","C_0402_1005Metric",105.000000,59.100000,-90.000000,top
"C167","33pF","C_0402_1005Metric",114.100000,32.200000,180.000000,top
"C168","1uF","C_0402_1005Metric",110.000000,59.100000,-90.000000,top
"C169","100nF","C_0402_1005Metric",110.000000,61.300000,0.000000,top
"C170","100nF/RF","C_0402_1005Metric",54.000000,13.400000,90.000000,top
"C171","10nF","C_0402_1005Metric",37.400000,18.000000,180.000000,top
"C172","10nF","C_0402_1005Metric",45.600000,19.200000,0.000000,top
"C173","DNP","C_0402_1005Metric",28.300000,31.100000,90.000000,top
"C174","DNP","C_0402_1005Metric",38.100000,31.000000,-90.000000,top
"C175","10nF","C_0402_1005Metric",45.400000,13.400000,0.000000,top
"C176","DNP","C_0402_1005Metric",46.800000,16.000000,-90.000000,top
"C177","1uF","C_0402_1005Metric",45.600000,21.600000,0.000000,top
"C178","100nF/RF","C_0402_1005Metric",45.000000,15.400000,180.000000,top
"C179","100nF/RF","C_0402_1005Metric",45.000000,16.700000,180.000000,top
"C180","10nF","C_0402_1005Metric",37.400000,14.000000,180.000000,top
"C181","100nF","C_0402_1005Metric",33.800000,34.000000,-90.000000,top
"C182","100nF","C_0402_1005Metric",32.600000,34.000000,90.000000,top
"C183","100nF","C_0402_1005Metric",37.400000,16.600000,0.000000,top
"C184","330pF","C_0402_1005Metric",33.200000,36.700000,0.000000,top
"C185","100nF","C_0402_1005Metric",37.400000,15.400000,180.000000,top
"C186","100nF","C_0402_1005Metric",37.400000,11.600000,0.000000,top
"C187","330pF","C_0402_1005Metric",29.500000,38.100000,0.000000,top
"C188","330pF","C_0402_1005Metric",33.200000,38.100000,0.000000,top
"C189","330pF","C_0402_1005Metric",37.000000,36.700000,0.000000,top
"C190","100nF","C_0402_1005Metric",37.400000,19.200000,180.000000,top
"C191","10nF","C_0402_1005Metric",43.500000,21.000000,90.000000,top
"C192","10nF","C_0402_1005Metric",40.000000,21.000000,90.000000,top
"C193","100nF","C_0402_1005Metric",45.600000,20.400000,0.000000,top
"C194","120pF","C_0402_1005Metric",41.750000,21.650000,180.000000,top
"C195","1uF","C_0402_1005Metric",37.000000,39.500000,0.000000,top
"C196","150pF","C_0402_1005Metric",41.750000,23.950000,180.000000,top
"C197","33pF","C_0402_1005Metric",41.760000,26.420000,180.000000,top
"C198","1uF","C_0402_1005Metric",37.000000,44.500000,0.000000,top
"C199","100nF","C_0402_1005Metric",37.200000,22.400000,90.000000,top
"C200","100nF","C_0402_1005Metric",34.200000,22.400000,90.000000,top
"C201","100nF","C_0402_1005Metric",30.500000,43.700000,90.000000,top
"C202","1uF","C_0402_1005Metric",31.900000,28.900000,180.000000,top
"C203","1uF","C_0402_1005Metric",34.600000,28.900000,0.000000,top
"C204","100nF","C_0402_1005Metric",37.000000,27.700000,180.000000,top
"C205","100nF","C_0402_1005Metric",32.600000,22.400000,90.000000,top
"C206","100nF","C_0402_1005Metric",60.500000,73.000000,180.000000,top
"C207","100nF","C_0402_1005Metric",70.000000,79.700000,90.000000,top
"C208","100nF","C_0402_1005Metric",61.300000,84.300000,90.000000,top
"C209","100nF","C_0402_1005Metric",50.200000,64.200000,180.000000,top
"C210","100nF","C_0402_1005Metric",34.500000,51.800000,180.000000,top
"C211","100nF","C_0402_1005Metric",18.700000,61.300000,-90.000000,top
"C212","100nF","C_0402_1005Metric",21.400000,66.600000,180.000000,top
"C213","100nF","C_0402_1005Metric",36.100000,80.400000,90.000000,top
"C214","100nF","C_0402_1005Metric",41.500000,52.800000,-90.000000,top
"C215","100nF","C_0402_1005Metric",43.000000,79.800000,0.000000,top
"C216","100nF","C_0402_1005Metric",40.300000,52.500000,-90.000000,top
"C217","100nF","C_0402_1005Metric",28.198900,79.283600,180.000000,top
"C218","100nF","C_0402_1005Metric",49.100000,66.800000,0.000000,top
"C219","100nF","C_0402_1005Metric",21.400000,68.600000,180.000000,top
"C220","100nF","C_0402_1005Metric",49.100000,65.600000,0.000000,top
"C221","100nF","C_0402_1005Metric",28.600000,53.200000,0.000000,top
"C222","100nF","C_0402_1005Metric",34.500000,53.000000,180.000000,top
"C223","100pF","C_0402_1005Metric",28.400000,43.700000,90.000000,top
"C224","100pF","C_0402_1005Metric",28.900000,39.400000,180.000000,top
"C225","100pF","C_0402_1005Metric",28.900000,36.800000,180.000000,top
"C226","100pF","C_0402_1005Metric",28.900000,33.200000,180.000000,top
"C227","100pF","C_0402_1005Metric",15.400000,54.300000,90.000000,top
"C228","100pF","C_0402_1005Metric",15.400000,51.700000,-90.000000,top
"C229","100pF","C_0402_1005Metric",18.500000,51.500000,180.000000,top
"C230","100pF","C_0402_1005Metric",20.600000,49.700000,90.000000,top
"C231","100pF","C_0402_1005Metric",108.700000,50.300000,180.000000,top
"C232","100pF","C_0402_1005Metric",108.000000,52.100000,-90.000000,top
"C233","100pF","C_0402_1005Metric",105.800000,51.000000,0.000000,top
"C234","100pF","C_0402_1005Metric",105.500000,55.100000,0.000000,top
"C235","100pF","C_0402_1005Metric",80.400000,20.200000,0.000000,top
"C236","100pF","C_0402_1005Metric",87.441418,11.058578,45.000000,top
"C237","100pF","C_0402_1005Metric",48.700000,22.700000,180.000000,top
"C238","100pF","C_0402_1005Metric",48.700000,19.200000,180.000000,top
"C239","100pF","C_0402_1005Metric",51.100000,22.700000,0.000000,top
"C240","100pF","C_0402_1005Metric",51.100000,19.200000,0.000000,top
"C241","100pF","C_0402_1005Metric",18.200000,33.200000,180.000000,top
"C242","100pF","C_0402_1005Metric",18.200000,29.500000,180.000000,top
"C243","100pF","C_0402_1005Metric",54.000000,23.500000,90.000000,top
"C244","100pF","C_0402_1005Metric",54.000000,18.100000,-90.000000,top
"C245","100pF","C_0402_1005Metric",69.300000,38.500000,-90.000000,top
"C246","100pF","C_0402_1005Metric",66.000000,38.500000,90.000000,top
"C247","100pF","C_0402_1005Metric",73.600000,38.500000,-90.000000,top
"C248","100pF","C_0402_1005Metric",70.500000,38.500000,90.000000,top
"C249","100pF","C_0402_1005Metric",45.500000,29.600000,180.000000,top
"C250","100pF","C_0402_1005Metric",66.500000,33.500000,90.000000,top
"C251","100pF","C_0402_1005Metric",45.900000,28.400000,180.000000,top
"C252","100pF","C_0402_1005Metric",67.000000,31.100000,90.000000,top
"C253","100pF","C_0402_1005Metric",42.000000,31.200000,180.000000,top
"C254","100pF","C_0402_1005Metric",66.300000,29.200000,0.000000,top
"C255","100pF","C_0402_1005Metric",42.000000,30.000000,180.000000,top
"C256","100pF","C_0402_1005Metric",66.300000,28.000000,0.000000,top
"C257","100pF","C_0402_1005Metric",63.900000,24.000000,180.000000,top
"C258","100pF","C_0402_1005Metric",46.100000,23.500000,-90.000000,top
"C259","100pF","C_0402_1005Metric",65.700000,24.500000,-90.000000,top
"C260","100pF","C_0402_1005Metric",46.100000,25.900000,90.000000,top
"C261","100pF","C_0402_1005Metric",66.900000,24.500000,-90.000000,top
"C262","100pF","C_0402_1005Metric",42.000000,28.800000,180.000000,top
"C263","100pF","C_0402_1005Metric",39.100000,52.500000,-90.000000,top
"C264","100pF","C_0402_1005Metric",37.900000,52.500000,-90.000000,top
"C265","100pF","C_0402_1005Metric",53.400000,42.000000,0.000000,top
"C266","100pF","C_0402_1005Metric",36.700000,52.500000,-90.000000,top
"C267","100pF","C_0402_1005Metric",59.000000,60.300000,0.000000,top
"C268","100pF","C_0402_1005Metric",70.200000,55.600000,90.000000,top
"C269","100nF","C_0402_1005Metric",5.100000,15.400000,90.000000,top
"C270","100nF","C_0402_1005Metric",34.700000,15.900000,135.000000,top
"C271","100pF","C_0402_1005Metric",52.800000,60.300000,180.000000,top
"C272","100pF","C_0402_1005Metric",74.200000,47.300000,0.000000,top
"C273","100pF","C_0402_1005Metric",46.000000,55.900000,180.000000,top
"C274","100pF","C_0402_1005Metric",74.200000,46.000000,0.000000,top
"D1","MBRS2040LT3G","D_SMB",102.900000,75.700000,90.000000,top
"IC1","MIC2253","DFN-12-1EP_3x3mm_P0.45mm_EP1.66x2.38mm",98.500000,77.000000,90.000000,top
"IC2","LM3370","DFN-16-1EP_4x5mm_P0.5mm_EP2.44x4.34mm",84.800000,79.000000,180.000000,top
"IC3","LDL212PU50R","WSON-6-1EP_3x3mm_P0.95mm",21.000000,43.900000,90.000000,top
"IC4","LDL212PU50R","WSON-6-1EP_3x3mm_P0.95mm",102.000000,53.800000,-90.000000,top
"IC5","LDL212PU50R","WSON-6-1EP_3x3mm_P0.95mm",29.900000,23.300000,90.000000,top
"IC6","LDL212PU50R","WSON-6-1EP_3x3mm_P0.95mm",95.000000,55.000000,-90.000000,top
"IC7","SI5351C","QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",96.000000,42.000000,180.000000,top
"IC8","AP2114H","SOT-223-3_TabPin2",86.300000,55.600000,180.000000,top
"IC9","NCP702-3.3","SOT-23-5",78.100000,57.900000,180.000000,top
"IC10","MAX2871","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",68.050000,50.250000,-90.000000,top
